keyword,result,review
,"{'label': 'LABEL_2', 'score': 0.39286723732948303}",dark room
,"{'label': 'LABEL_0', 'score': 0.8036408424377441}",people are just desperate
,"{'label': 'LABEL_0', 'score': 0.9108151793479919}",boring burger
,"{'label': 'LABEL_0', 'score': 0.8659566640853882}",boring salad
,"{'label': 'LABEL_2', 'score': 0.7367179989814758}",place is pretty nice
,"{'label': 'LABEL_0', 'score': 0.6385313868522644}",noisy banter
,"{'label': 'LABEL_2', 'score': 0.37242987751960754}",place was less
,"{'label': 'LABEL_0', 'score': 0.7352820634841919}",dark meat
,"{'label': 'LABEL_0', 'score': 0.7352820634841919}",dark meat
,"{'label': 'LABEL_0', 'score': 0.5900786519050598}",loud atmosphere
,"{'label': 'LABEL_0', 'score': 0.976348340511322}",place was so awful
,"{'label': 'LABEL_2', 'score': 0.981272280216217}",space is great
,"{'label': 'LABEL_0', 'score': 0.9721857905387878}",place was awful
,"{'label': 'LABEL_0', 'score': 0.97196364402771}",place is awful
,"{'label': 'LABEL_0', 'score': 0.5034071207046509}",old mgr
,"{'label': 'LABEL_2', 'score': 0.6695736646652222}",old virgin
,"{'label': 'LABEL_2', 'score': 0.6695736646652222}",old virgin
,"{'label': 'LABEL_2', 'score': 0.9731119275093079}",place is very visually busy
,"{'label': 'LABEL_0', 'score': 0.5061865448951721}",crowded bars
,"{'label': 'LABEL_0', 'score': 0.7578470706939697}",interior was cold
,"{'label': 'LABEL_0', 'score': 0.9699344635009766}",place is dirty
,"{'label': 'LABEL_0', 'score': 0.7505936026573181}",place was dead
,"{'label': 'LABEL_2', 'score': 0.4574589729309082}",old people
,"{'label': 'LABEL_2', 'score': 0.9599722623825073}",table was ready
,"{'label': 'LABEL_0', 'score': 0.8045961856842041}",place is incredibly pricey
,"{'label': 'LABEL_2', 'score': 0.953840434551239}",table was finally ready
,"{'label': 'LABEL_1', 'score': 0.5421341061592102}",table was acceptable
,"{'label': 'LABEL_2', 'score': 0.3742554485797882}",old corn
,"{'label': 'LABEL_0', 'score': 0.9681996703147888}",dirty fingernails
,"{'label': 'LABEL_0', 'score': 0.4497159719467163}",old couch
,"{'label': 'LABEL_0', 'score': 0.9738908410072327}",dirty diaper
,"{'label': 'LABEL_0', 'score': 0.809991717338562}",very dark potatoes
,"{'label': 'LABEL_0', 'score': 0.9619752764701843}",dirty counter
,"{'label': 'LABEL_0', 'score': 0.9619752764701843}",dirty counter
,"{'label': 'LABEL_0', 'score': 0.9834660291671753}",ugly pizza
,"{'label': 'LABEL_2', 'score': 0.980728805065155}",people are friendly
,"{'label': 'LABEL_0', 'score': 0.9691622257232666}",place is just terrible
,"{'label': 'LABEL_0', 'score': 0.6627466082572937}",dishes were probably amiss
,"{'label': 'LABEL_0', 'score': 0.7306111454963684}",dark lighting
,"{'label': 'LABEL_0', 'score': 0.8912690877914429}",rather loud voice
,"{'label': 'LABEL_2', 'score': 0.6313139200210571}",old games
